Season,Name,Age,Born,Flag,B,T,Ht,Wt,DoB,Yrs,GP,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,All-Star,HOF
1908,Frank Arellanes,26,US,,R,R,"6' 0""",180,"Jan 28, 1882",1st,13,8,13,11,11,0,0,0,0,0,0,0,0,0,-,2,0,1.3,No,No
1908,Jimmy Barrett,33,US,,L,R,"5' 7""",170,"Mar 28, 1875",10,3,2,3,2,0,0,0,0,0,0,0,2,0,2,-,1,0,-0.1,No,No
1908,King Brady,27,US,,R,R,"6' 0""",190,"May 28, 1881",4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0.4,No,No
1908,Fred Burchell,28,US,,R,L,"5' 11""",190,"Jul 14, 1879",3,32,19,32,31,31,0,0,0,0,0,0,0,0,0,-,1,0,0.1,No,No
1908,Walter Carlisle,26,GB,,B,R,"5' 9""",154,"Jul 6, 1881",1st,4,3,4,3,0,0,0,0,0,0,3,0,0,3,-,0,1,-0.1,No,No
1908,Bill Carrigan,24,US,,R,R,"5' 9""",175,"Oct 22, 1883",2,57,40,57,50,0,47,3,0,0,0,0,0,0,0,-,10,0,0.9,No,No
1908,Eddie Cicotte,24,US,,B,R,"5' 9""",175,"Jun 19, 1884",2,40,24,40,39,39,0,0,0,0,0,0,0,0,0,-,1,0,2.8,No,No
1908,Gavvy Cravath,27,US,,R,R,"5' 10""",186,"Mar 23, 1881",1st,99,77,99,82,0,0,3,0,0,0,65,0,15,79,-,20,0,1.7,No,No
1908,Lou Criger,36,US,,R,R,"5' 10""",165,"Feb 3, 1872",13,83,80,83,83,0,83,0,0,0,0,0,0,0,0,-,0,0,0.9,No,No
1908,Pat Donahue,23,US,,R,R,"6' 0""",175,"Nov 3, 1884",1st,35,27,35,35,0,32,3,0,0,0,0,0,0,0,-,1,0,0.2,No,No
1908,Larry Gardner,22,US,,L,R,"5' 8""",165,"May 13, 1886",1st,3,2,3,3,0,0,0,0,3,0,0,0,0,0,-,0,0,-0.1,No,No
1908,Doc Gessler,27,US,,L,L,"5' 10""",180,"Dec 23, 1880",5,128,124,128,126,0,0,0,0,0,0,0,0,126,126,-,3,0,4.6,No,No
1908,Ralph Glaze,27,US,,R,R,"5' 9""",165,"Mar 13, 1881",3,10,3,10,10,10,0,0,0,0,0,0,0,0,0,-,0,0,-1.1,No,No
1908,Charlie Hartman,19,US,,,L,"5' 11""",,"Aug 10, 1888",1st,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0,No,No
1908,Jack Hoey,26,US,,L,L,"5' 9""",185,"Nov 10, 1881",3,13,10,13,11,0,0,0,0,0,0,0,0,11,11,-,2,0,-0.5,No,No
1908,Frank LaPorte,28,US,,R,R,"5' 8""",175,"Feb 6, 1880",4,61,37,61,41,0,0,0,25,11,0,0,2,3,5,-,20,0,0.5,No,No
1908,Harry Lord,26,US,,L,R,"5' 10""",165,"Mar 8, 1882",2,145,144,145,144,0,0,0,0,144,0,0,0,0,0,-,1,0,1.6,No,No
1908,Amby McConnell,25,US,,L,R,"5' 7""",150,"Apr 29, 1883",1st,140,127,140,129,0,0,0,126,0,4,0,0,0,0,-,11,1,2.7,No,No
1908,Ed McFarland,34,US,,R,R,"5' 10""",180,"Aug 3, 1873",14,19,11,19,13,0,13,0,0,0,0,0,0,0,0,-,6,0,0.3,No,No
1908,Deacon McGuire,44,US,,R,R,"6' 1""",185,"Nov 18, 1863",24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-,1,0,0,No,No
1908,Jim McHale,32,US,,R,R,"5' 11""",165,"Dec 17, 1875",1st,23,18,23,19,0,0,0,0,0,0,1,18,0,19,-,2,3,0,No,No
1908,Doc McMahon,21,US,,,R,,,"Dec 19, 1886",1st,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0.2,No,No
1908,Cy Morgan,29,US,,R,R,"6' 0""",175,"Nov 10, 1878",5,30,26,30,30,30,0,0,0,0,0,0,0,0,0,-,0,0,1.8,No,No
1908,Harry Niles,27,US,,R,R,"5' 8""",175,"Sep 10, 1880",3,19,7,19,11,0,0,0,8,0,2,1,0,0,1,-,8,1,0.4,No,No
1908,Harry Ostdiek,27,US,,R,R,"5' 11""",185,"Apr 12, 1881",2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,-,0,0,-0.1,No,No
1908,Casey Patten,34,US,,B,L,"6' 0""",175,"May 7, 1874",8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,-0.3,No,No
1908,Tex Pruiett,25,US,,L,R,"5' 8""",176,"Apr 10, 1883",2,13,6,13,13,13,0,0,0,0,0,0,0,0,0,-,0,0,0.2,No,No
1908,Tris Speaker,20,US,,L,L,"5' 11""",193,"Apr 4, 1888",2,31,31,31,31,0,0,0,0,0,0,1,30,0,31,-,0,0,0.1,No,Yes
1908,Jake Stahl,29,US,,R,R,"6' 2""",195,"Apr 13, 1879",5,78,78,78,78,0,0,78,0,0,0,0,0,0,0,-,0,0,1.3,No,No
1908,Elmer Steele,24,US,,B,R,"5' 11""",200,"May 17, 1884",2,16,13,16,16,16,0,0,0,0,0,0,0,0,0,-,0,0,1.8,No,No
1908,Denny Sullivan,25,US,,L,R,"5' 10""",,"Sep 28, 1882",3,103,95,103,97,0,0,0,0,0,0,5,92,0,97,-,4,3,0.7,No,No
1908,Jesse Tannehill,33,US,,B,L,"5' 8""",150,"Jul 14, 1874",13,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0.1,No,No
1908,Jake Thielman,29,US,,R,R,"5' 11""",175,"May 20, 1879",4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,-0.3,No,No
1908,Jack Thoney,28,US,,R,R,"5' 10""",175,"Dec 8, 1879",4,109,101,109,101,0,0,0,0,0,0,87,12,3,101,-,8,0,1,No,No
1908,Bob Unglaub,27,US,,R,R,"5' 11""",178,"Jul 31, 1880",4,72,72,72,72,0,0,72,0,0,0,0,0,0,0,-,0,0,0.6,No,No
1908,Heinie Wagner,27,US,,R,R,"5' 9""",183,"Sep 23, 1880",4,153,153,153,153,0,0,0,0,0,153,0,0,0,0,-,0,0,3.5,No,No
1908,George Winter,30,US,,R,R,"5' 8""",155,"Apr 27, 1878",8,22,17,22,22,22,0,0,0,0,0,0,0,0,0,-,0,0,-0.4,No,No
1908,Smoky Joe Wood,18,US,,R,R,"5' 11""",180,"Oct 25, 1889",1st,6,2,6,6,6,0,0,0,0,0,0,0,0,0,-,0,0,-0.3,No,No
1908,Cy Young,41,US,,R,R,"6' 2""",210,"Mar 29, 1867",19,36,33,36,36,36,0,0,0,0,0,0,0,0,0,-,0,0,9.7,No,Yes
1909,Fred Anderson,23,US,,R,R,"6' 2""",180,"Dec 11, 1885",1st,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,0.1,No,No
1909,Frank Arellanes,27,US,,R,R,"6' 0""",180,"Jan 28, 1882",2,46,28,46,45,45,0,0,0,0,0,0,0,0,0,-,1,0,2.7,No,No
1909,Fred Burchell,29,US,,R,L,"5' 11""",190,"Jul 14, 1879",4,10,5,10,10,10,0,0,0,0,0,0,0,0,0,-,0,0,0.2,No,No
1909,Bill Carrigan,25,US,,R,R,"5' 9""",175,"Oct 22, 1883",3,95,85,95,86,0,78,9,0,0,0,0,0,0,0,-,10,0,3.4,No,No
1909,Charlie Chech,31,US,,R,R,"5' 11""",190,"Apr 27, 1878",4,17,13,17,17,17,0,0,0,0,0,0,0,0,0,-,0,0,-0.3,No,No
1909,Jack Chesbro,35,US,,R,R,"5' 9""",180,"Jun 5, 1874",11,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,0,0,-0.1,No,Yes
